"county","state","race","inmetro","category"
"ADAMS","IL","63917/1702/98/249/124",0,"AAR"
"ALEXANDER","IL","7054/3496/19/48/9",0,"LHR"
"BOND","IL","14477/429/35/16/34",0,"AAR"
"BOONE","IL","29344/127/46/150/1139",1,"ALU"
"BROWN","IL","5264/547/14/5/6",0,"AAR"
"BUREAU","IL","35157/50/65/195/221",0,"AAR"
"CALHOUN","IL","5298/1/8/15/0",0,"LAR"
"CARROLL","IL","16519/111/30/61/84",0,"AAR"
"CASS","IL","13384/16/8/23/6",0,"AAR"
"CHAMPAIGN","IL","146506/16559/331/8033/1596",1,"HAU"
"CHRISTIAN","IL","34176/82/51/89/20",0,"AAR"
"CLARK","IL","15842/10/26/36/7",0,"AAR"
"CLAY","IL","14403/4/17/29/7",0,"LAR"
"CLINTON","IL","32688/1021/48/104/83",1,"LAU"
"COLES","IL","50177/925/92/341/109",0,"AAR"
"COOK","IL","3204947/1317147/10289/188565/384119",1,"AAU"
"CRAWFORD","IL","19300/63/34/48/19",0,"AAR"
"CUMBERLAND","IL","10627/5/6/26/6",0,"AAR"
"DE KALB","IL","72968/2069/123/1751/1021",1,"HAU"
"DE WITT","IL","16387/25/37/43/24",0,"AAR"
"DOUGLAS","IL","19280/16/19/41/108",0,"AAR"
"DU PAGE","IL","714905/15462/962/39634/10703",1,"HLU"
"EDGAR","IL","19469/68/24/24/10",0,"AAR"
"EDWARDS","IL","7401/6/8/19/6",0,"AAR"
"EFFINGHAM","IL","31523/12/45/95/29",0,"AAR"
"FAYETTE","IL","20148/599/40/35/71",0,"AAR"
"FORD","IL","14157/43/14/40/21",0,"AAR"
"FRANKLIN","IL","40068/36/106/84/25",0,"LHR"
"FULTON","IL","37117/668/83/105/107",0,"AAR"
"GALLATIN","IL","6842/42/10/11/4",0,"LHR"
"GREENE","IL","15231/14/50/17/5",0,"AAR"
"GRUNDY","IL","31864/21/45/113/294",1,"ALU"
"HAMILTON","IL","8462/3/11/21/2",0,"LHR"
"HANCOCK","IL","21272/26/25/37/13",0,"AAR"
"HARDIN","IL","5062/85/16/13/13",0,"LHR"
"HENDERSON","IL","8037/8/29/10/12",0,"AAR"
"HENRY","IL","49969/657/63/128/342",1,"AAU"
"IROQUOIS","IL","30154/164/43/69/357",0,"AAR"
"JACKSON","IL","51991/6342/109/2178/447",0,"AHR"
"JASPER","IL","10574/1/11/17/6",0,"AAR"
"JEFFERSON","IL","34856/1924/56/129/55",0,"AAR"
"JERSEY","IL","20346/96/43/32/22",1,"AAU"
"JO DAVIESS","IL","21732/14/20/29/26",0,"AAR"
"JOHNSON","IL","10230/1046/26/14/31",0,"LAR"
"KANE","IL","269675/19006/620/4474/23696",1,"ALU"
"KANKAKEE","IL","80194/14399/150/644/868",1,"AAU"
