"county","state","popadults","perchsd","percollege","percprof","percbelowpoverty","percchildbelowpovert","percadultpoverty","percelderlypoverty"
"ADAMS","IL",43298,75.1073953,19.6313918,4.35585939,13.1514428,18.0117169,11.0097759,12.4438118
"ALEXANDER","IL",6724,59.7263534,11.2433076,2.87031529,32.2442777,45.8265139,27.3856467,25.2289759
"BOND","IL",9669,69.3349881,17.0338194,4.48857172,12.0688444,14.036061,10.85209,12.69741
"BOONE","IL",19272,75.4721876,17.2789539,4.19779992,7.20901869,11.1795358,5.53601292,6.21704745
"BROWN","IL",3979,68.861523,14.475999,3.36768032,13.5202492,13.0228887,11.1432109,19.2
"BUREAU","IL",23444,76.6294148,18.9046238,3.27589149,10.3996354,14.1588185,8.17928731,11.0085864
"CALHOUN","IL",3583,62.8244488,11.9173877,3.20960089,15.1497806,13.7877614,12.9323308,21.0852713
"CARROLL","IL",11323,75.9516029,16.1971209,3.05572728,11.7107262,17.2254616,10.0270366,9.52505219
"CASS","IL",8825,72.2719547,14.1076487,3.20679887,13.875086,17.9947841,11.9143432,13.6601796
"CHAMPAIGN","IL",95971,87.4993488,41.2958081,17.7574476,15.5724373,14.1322336,17.5627276,8.1050169
"CHRISTIAN","IL",22945,73.074744,13.567226,3.08999782,11.7082988,16.3206125,9.56969969,11.4906408
"CLARK","IL",10734,71.3340786,15.1108627,2.77622508,12.0076849,15.3215475,10.1317752,12.5954198
"CLAY","IL",9647,65.5644242,13.6830103,2.78843164,16.7742841,20.5825776,14.4641142,17.6700783
"CLINTON","IL",21563,67.1659788,15.3874693,2.87529565,10.2236719,13.2994025,9.25383422,8.32317604
"COLES","IL",29136,76.105162,25.1750412,8.14456343,16.7487361,16.3419409,18.7929138,10.9936084
"COOK","IL",3291995,73.4058223,28.0181167,8.32996405,14.1983027,22.2934971,11.6655424,10.8252688
"CRAWFORD","IL",13317,76.0306375,16.9858076,3.33408425,10.5370496,13.809825,8.87024273,10.8033875
"CUMBERLAND","IL",6727,72.2461721,14.5978891,2.69064962,12.0491029,13.6031851,9.8222638,15.2846257
"DE KALB","IL",41817,83.8797618,32.835928,11.1509673,13.5446352,8.67823765,17.0474188,6.45390792
"DE WITT","IL",10941,74.6458276,16.1959601,3.30865552,10.3153098,13.568426,7.95599305,12.2553448
"DOUGLAS","IL",12550,74.0318725,16.8685259,3.84063745,9.62904911,13.2935431,7.92479531,8.71436256
"DU PAGE","IL",502321,88.5768264,42.7688669,11.9632665,2.71473392,2.94525227,2.39906403,3.83824912
"EDGAR","IL",13082,73.5208684,16.8399327,3.67680783,16.0037387,22.8276281,14.4809567,11.7620137
"EDWARDS","IL",5019,69.6752341,16.9356446,2.45068739,12.2040816,15.1598677,10.9502501,11.8595279
"EFFINGHAM","IL",19477,74.9550752,20.2751964,3.7839503,8.99484454,11.599832,6.97446574,10.5174981
"FAYETTE","IL",13894,68.7922844,13.6029941,2.98690082,13.618137,16.6276347,12.1341463,13.4358289
"FORD","IL",9592,77.1684737,17.8273561,3.89908257,9.26406926,13.5712279,7.32528768,8.78740157
"FRANKLIN","IL",27214,66.6642169,14.7056662,2.43257147,20.764174,31.074742,19.3135372,13.6794859
"FULTON","IL",25592,73.847296,15.5321976,2.99703032,15.494738,22.8122252,13.9965731,11.0196033
"GALLATIN","IL",4680,58.4188034,11.3675214,2.69230769,21.4338726,29.7246558,20.005596,16.2300319
"GREENE","IL",10031,69.0459575,13.0495464,2.71159406,15.5339163,20.0300827,13.444049,14.9431818
"GRUNDY","IL",20541,78.9640232,18.3778784,3.93846453,6.6168423,6.93047172,5.32733914,10.4620084
"HAMILTON","IL",5859,59.9931729,14.0467657,2.61136713,19.8496958,21.9232686,17.0501332,23.1419671
"HANCOCK","IL",14322,77.5380533,20.6605223,3.86119257,11.7843671,14.6202065,9.82946027,12.9152053
"HARDIN","IL",3492,59.7365407,14.3184422,2.60595647,26.7460638,35.1417004,25.1742835,21.1961302
"HENDERSON","IL",5467,73.349186,13.7735504,2.17669654,12.9389788,15.6080748,10.2823529,16.2950257
"HENRY","IL",33423,77.1953445,18.7236334,4.22164378,10.4790775,15.1772634,8.63526345,9.01154039
"IROQUOIS","IL",20578,73.4376519,15.1666829,3.22674701,9.19871476,11.6762716,7.9592631,9.10027978
"JACKSON","IL",32172,78.767251,36.6436653,14.0898918,28.37175,26.3922105,32.4584833,13.8153008
"JASPER","IL",6835,69.7000732,15.0256035,2.76517922,13.1005613,17.4379611,10.0076104,14.5622525
"JEFFERSON","IL",24023,69.9038422,18.3698955,3.67980685,16.0569941,21.1134991,13.6358867,15.631524
"JERSEY","IL",12847,71.9156223,14.7583093,3.13691913,9.74453113,11.8255728,8.8343212,9.29971989
"JO DAVIESS","IL",14409,74.092581,16.4133528,3.4284128,8.28782971,9.29164459,6.28398253,11.8393235
"JOHNSON","IL",7922,66.1701591,14.3524363,3.43347639,15.5555556,18.5350603,12.2665006,19.8775318
"KANE","IL",191807,77.7192699,27.5938834,7.01329983,6.84655982,9.59040311,5.55167946,6.31380264
"KANKAKEE","IL",59821,73.0863744,17.6409622,3.99023754,13.2967579,19.5983276,10.888062,10.2479647
"KENDALL","IL",24175,83.6773526,24.8893485,5.25336091,3.38529044,4.42017237,2.35504872,5.87851078
"KNOX","IL",37723,76.5660207,19.3436365,4.21228428,13.8684894,19.6733764,12.8831741,9.73871734
"LAKE","IL",318475,84.7269016,37.8340529,11.4640082,5.15977808,6.76712484,4.19193902,6.16443033
"LA SALLE","IL",70357,73.127052,16.8995267,3.43817957,11.1014329,15.2417866,9.21209673,10.6971468
"LAWRENCE","IL",10950,69.2328767,14.5388128,1.94520548,19.8475272,31.1128734,16.7597057,14.8832156
"LEE","IL",22661,76.2808349,18.476678,4.04218702,8.8240781,10.5378832,7.71542507,9.5268748
"LIVINGSTON","IL",26084,74.1450698,14.5031437,2.94816746,9.32516723,13.7011589,8.02005013,6.77040677
"LOGAN","IL",20324,75.9004133,17.9492226,3.79846487,10.7813834,12.8258458,9.96479107,10.3613632
"MCDONOUGH","IL",18784,80.302385,27.9280239,10.3598807,19.0520801,16.0093168,22.4033816,12.8843841
"MCHENRY","IL",114721,84.5076316,28.0541488,6.41730808,3.49159858,4.06964667,2.87024568,5.0644731
"MCLEAN","IL",72957,84.671793,33.8185507,9.00393382,11.8754409,10.0105088,13.715404,7.2666025
"MACON","IL",76297,76.2113845,19.8618556,4.98446859,12.7417969,19.2574786,10.9095835,8.98486907
"MACOUPIN","IL",31217,72.8192972,14.0083929,3.2546369,13.2127536,18.5988943,10.8171077,12.460907
"MADISON","IL",161517,75.8143106,19.6994744,4.94932422,11.3387945,16.6709192,9.90305061,8.29181097
"MARION","IL",27077,70.1259371,16.4493851,3.31277468,16.3676471,22.3493101,13.9285714,14.7224835
"MARSHALL","IL",8600,77.7790698,17.5348837,2.56976744,9.38470111,11.4717933,7.50307503,11.3305613
