"Lot_Area","Neighborhood","Overall_Qual","Overall_Cond","Year_Built","Roof_Style","Bsmt_Cond","Central_Air","Gr_Liv_Area","Full_Bath","Half_Bath","Bedroom_AbvGr","Kitchen_AbvGr","TotRms_AbvGrd","Fireplaces","Garage_Type","Fence","Sale_Price"
31770,"North_Ames","Above_Average","Average",1960,"Hip","Good","Y",1656,1,0,3,1,7,2,"Attchd","No_Fence",215000
11622,"North_Ames","Average","Above_Average",1961,"Gable","Typical","Y",896,1,0,2,1,5,0,"Attchd","Minimum_Privacy",105000
14267,"North_Ames","Above_Average","Above_Average",1958,"Hip","Typical","Y",1329,1,1,3,1,6,0,"Attchd","No_Fence",172000
11160,"North_Ames","Good","Average",1968,"Hip","Typical","Y",2110,2,1,3,1,8,2,"Attchd","No_Fence",244000
13830,"Gilbert","Average","Average",1997,"Gable","Typical","Y",1629,2,1,3,1,6,1,"Attchd","Minimum_Privacy",189900
9978,"Gilbert","Above_Average","Above_Average",1998,"Gable","Typical","Y",1604,2,1,3,1,7,1,"Attchd","No_Fence",195500
4920,"Stone_Brook","Very_Good","Average",2001,"Gable","Typical","Y",1338,2,0,2,1,6,0,"Attchd","No_Fence",213500
5005,"Stone_Brook","Very_Good","Average",1992,"Gable","Typical","Y",1280,2,0,2,1,5,0,"Attchd","No_Fence",191500
5389,"Stone_Brook","Very_Good","Average",1995,"Gable","Typical","Y",1616,2,0,2,1,5,1,"Attchd","No_Fence",236500
7500,"Gilbert","Good","Average",1999,"Gable","Typical","Y",1804,2,1,3,1,7,1,"Attchd","No_Fence",189000
10000,"Gilbert","Above_Average","Average",1993,"Gable","Typical","Y",1655,2,1,3,1,7,1,"Attchd","No_Fence",175900
7980,"Gilbert","Above_Average","Good",1992,"Gable","Typical","Y",1187,2,0,3,1,6,0,"Attchd","Good_Privacy",185000
8402,"Gilbert","Above_Average","Average",1998,"Gable","Typical","Y",1465,2,1,3,1,7,1,"Attchd","No_Fence",180400
10176,"Gilbert","Good","Average",1990,"Gable","Typical","Y",1341,1,1,2,1,5,1,"Attchd","No_Fence",171500
6820,"Stone_Brook","Very_Good","Average",1985,"Gable","Typical","Y",1502,1,1,1,1,4,0,"Attchd","No_Fence",212000
